motor time,polar angle,azimuth angle,sensor time,E
-2000-0-0 0:1:4,7,0,2020-6-26 16:0:29,3.176130
-2000-0-0 0:1:4,6,0,2020-6-26 16:0:29,4.534380
-2000-0-0 0:1:5,5,0,2020-6-26 16:0:30,6.571670
-2000-0-0 0:1:5,4,0,2020-6-26 16:0:31,10.046800
-2000-0-0 0:1:5,3,0,2020-6-26 16:0:31,11.005300
-2000-0-0 0:1:6,2,0,2020-6-26 16:0:32,11.744200
-2000-0-0 0:1:6,1,0,2020-6-26 16:0:32,14.260300
-2000-0-0 0:1:6,0,0,2020-6-26 16:0:33,15.318600
-2000-0-0 0:1:7,-1,0,2020-6-26 16:0:34,16.057400
-2000-0-0 0:1:7,-2,0,2020-6-26 16:0:34,18.792900
-2000-0-0 0:1:8,-3,0,2020-6-26 16:0:35,19.172199
-2000-0-0 0:1:8,-4,0,2020-6-26 16:0:35,19.371901
-2000-0-0 0:1:8,-5,0,2020-6-26 16:0:36,19.611401
-2000-0-0 0:1:9,-6,0,2020-6-26 16:0:37,19.671301
-2000-0-0 0:1:9,-7,0,2020-6-26 16:0:38,19.671301
-2000-0-0 0:1:10,-8,0,2020-6-26 16:0:38,19.711300
-2000-0-0 0:1:10,-9,0,2020-6-26 16:0:39,19.711300
-2000-0-0 0:1:10,-10,0,2020-6-26 16:0:39,19.711300
-2000-0-0 0:1:11,-11,0,2020-6-26 16:0:40,19.731199
-2000-0-0 0:1:11,-12,0,2020-6-26 16:0:41,19.751200
-2000-0-0 0:1:12,-13,0,2020-6-26 16:0:41,19.751200
-2000-0-0 0:1:12,-14,0,2020-6-26 16:0:42,19.731199
-2000-0-0 0:1:12,-15,0,2020-6-26 16:0:43,19.711300
-2000-0-0 0:1:13,-16,0,2020-6-26 16:0:43,19.711300
-2000-0-0 0:1:13,-17,0,2020-6-26 16:0:44,19.731199
-2000-0-0 0:1:13,-18,0,2020-6-26 16:0:44,19.711300
-2000-0-0 0:1:14,-19,0,2020-6-26 16:0:45,19.711300
-2000-0-0 0:1:14,-20,0,2020-6-26 16:0:46,19.691299
-2000-0-0 0:1:15,-21,0,2020-6-26 16:0:46,19.731199
-2000-0-0 0:1:15,-22,0,2020-6-26 16:0:47,19.711300
-2000-0-0 0:1:15,-23,0,2020-6-26 16:0:48,19.731199
-2000-0-0 0:1:16,-24,0,2020-6-26 16:0:48,19.751200
-2000-0-0 0:1:16,-25,0,2020-6-26 16:0:49,19.791100
-2000-0-0 0:1:17,-26,0,2020-6-26 16:0:49,19.771200
-2000-0-0 0:1:17,-27,0,2020-6-26 16:0:50,19.731199
-2000-0-0 0:1:17,-28,0,2020-6-26 16:0:51,19.731199
-2000-0-0 0:1:18,-29,0,2020-6-26 16:0:51,19.771200
-2000-0-0 0:1:18,-30,0,2020-6-26 16:0:52,19.771200
-2000-0-0 0:1:18,-31,0,2020-6-26 16:0:53,19.771200
-2000-0-0 0:1:19,-32,0,2020-6-26 16:0:53,19.791100
-2000-0-0 0:1:19,-33,0,2020-6-26 16:0:54,19.791100
-2000-0-0 0:1:20,-34,0,2020-6-26 16:0:55,19.771200
-2000-0-0 0:1:20,-35,0,2020-6-26 16:0:55,19.771200
-2000-0-0 0:1:20,-36,0,2020-6-26 16:0:56,19.791100
-2000-0-0 0:1:21,-37,0,2020-6-26 16:0:57,19.751200
-2000-0-0 0:1:21,-38,0,2020-6-26 16:0:57,19.691299
-2000-0-0 0:1:22,-39,0,2020-6-26 16:0:58,19.711300
-2000-0-0 0:1:22,-40,0,2020-6-26 16:0:58,19.731199
-2000-0-0 0:1:22,-41,0,2020-6-26 16:0:59,19.771200
-2000-0-0 0:1:23,-42,0,2020-6-26 16:1:0,19.751200
-2000-0-0 0:1:23,-43,0,2020-6-26 16:1:0,19.751200
-2000-0-0 0:1:24,-44,0,2020-6-26 16:1:1,19.751200
-2000-0-0 0:1:24,-45,0,2020-6-26 16:1:1,19.731199
-2000-0-0 0:1:24,-46,0,2020-6-26 16:1:2,19.731199
-2000-0-0 0:1:25,-47,0,2020-6-26 16:1:3,19.731199
-2000-0-0 0:1:25,-48,0,2020-6-26 16:1:4,19.711300
-2000-0-0 0:1:25,-49,0,2020-6-26 16:1:4,19.711300
-2000-0-0 0:1:26,-50,0,2020-6-26 16:1:5,19.711300
-2000-0-0 0:1:26,-51,0,2020-6-26 16:1:5,19.691299
-2000-0-0 0:1:27,-52,0,2020-6-26 16:1:6,19.711300
-2000-0-0 0:1:27,-53,0,2020-6-26 16:1:7,19.571501
-2000-0-0 0:1:27,-54,0,2020-6-26 16:1:7,13.920900
-2000-0-0 0:1:28,-55,0,2020-6-26 16:1:8,12.982300
-2000-0-0 0:1:28,-56,0,2020-6-26 16:1:8,12.622900
-2000-0-0 0:1:29,-57,0,2020-6-26 16:1:9,16.716400
-2000-0-0 0:1:29,-58,0,2020-6-26 16:1:10,15.977600
-2000-0-0 0:1:29,-59,0,2020-6-26 16:1:11,12.563000
-2000-0-0 1:-58:-30,-60,0,2020-6-26 16:1:11,13.821000
-2000-0-0 1:-58:-30,-61,0,2020-6-26 16:1:12,14.559900
-2000-0-0 1:-58:-30,-62,0,2020-6-26 16:1:12,11.125200
-2000-0-0 1:-58:-29,-63,0,2020-6-26 16:1:13,10.825600
-2000-0-0 1:-58:-29,-64,0,2020-6-26 16:1:14,11.185100
